Date,ZT_Open,ZT_High,ZT_Low,ZT_Close,ZT_Volume,DGS2
2017-11-14,107.53125,107.546875,107.5078125,107.5234375,370513.0,1.68
2017-11-15,107.5390625,107.59375,107.5234375,107.5390625,535684.0,1.68
2017-11-16,107.5390625,107.546875,107.484375,107.4921875,452645.0,1.72
2017-11-17,107.4921875,107.5078125,107.46875,107.4765625,376264.0,1.73
2017-11-20,107.484375,107.5078125,107.4296875,107.4296875,592332.0,1.77
2017-11-21,107.4296875,107.4375,107.375,107.390625,652930.0,1.77
2017-11-22,107.390625,107.5,107.390625,107.4921875,379773.0,1.74
2017-11-23,,,,,,
2017-11-24,107.4921875,107.5,107.453125,107.453125,386756.0,1.75
2017-11-27,107.4609375,107.4765625,107.4296875,107.4765625,1258620.0,1.74
2017-11-28,107.46875,107.5,107.4375,107.453125,1133444.0,1.75
2017-11-29,107.4609375,107.46875,107.3984375,107.4296875,486458.0,1.78
2017-11-30,107.421875,107.4296875,107.3515625,107.375,128211.0,1.78
2017-12-01,107.375,107.453125,107.3125,107.390625,40454.0,1.78
2017-12-04,107.359375,107.359375,107.3203125,107.3359375,15886.0,1.8
2017-12-05,107.328125,107.3359375,107.28125,107.3046875,16260.0,1.83
2017-12-06,107.3203125,107.3671875,107.3203125,107.34375,10782.0,1.78
2017-12-07,107.3359375,107.3515625,107.328125,107.3359375,10491.0,1.8
2017-12-08,107.328125,107.375,107.3125,107.359375,2355.0,1.8
2017-12-11,107.3671875,107.3828125,107.3125,107.3125,4856.0,1.82
2017-12-12,107.3046875,107.3125,107.265625,107.3046875,7871.0,1.83
2017-12-13,107.3203125,107.3984375,107.265625,107.3984375,7354.0,1.79
2017-12-14,107.3828125,107.3828125,107.3203125,107.3359375,1727.0,1.82
2017-12-15,107.3203125,107.3203125,107.28125,107.296875,3207.0,1.84
2017-12-18,107.2578125,107.3125,107.2578125,107.3125,2497.0,1.84
2017-12-19,107.2734375,107.2734375,107.2578125,107.2734375,4046.0,1.87
2017-12-20,107.2578125,107.2734375,107.2578125,107.2578125,2078.0,1.87
2017-12-21,107.2421875,107.2421875,107.2265625,107.2265625,1138.0,1.89
2017-12-22,107.21875,107.21875,107.203125,107.203125,2237.0,1.91
2017-12-25,,,,,,
2017-12-26,107.1796875,107.21875,107.1796875,107.2109375,3526.0,1.92
2017-12-27,107.2109375,107.2578125,107.2109375,107.25,1330.0,1.89
2017-12-28,107.25,107.2578125,107.2421875,107.2421875,3965.0,1.91
2017-12-29,107.28125,107.28125,107.28125,107.28125,152061.0,1.89
2018-01-01,,,,,,
2018-01-02,107.046875,107.0546875,106.96875,106.984375,261259.0,1.92
2018-01-03,106.984375,107.0078125,106.953125,106.96875,296103.0,1.94
2018-01-04,106.953125,106.9609375,106.875,106.9140625,427544.0,1.96
